value,date,id
1.0,2015-05-15 00:00:00,HF00000SSF
1.0,2015-05-18 00:00:00,HF00000SSF
1.0,2015-05-19 00:00:00,HF00000SSF
0.992,2015-05-20 00:00:00,HF00000SSF
0.991,2015-05-21 00:00:00,HF00000SSF
0.989,2015-05-22 00:00:00,HF00000SSF
0.985,2015-05-25 00:00:00,HF00000SSF
0.984,2015-05-26 00:00:00,HF00000SSF
0.982,2015-05-27 00:00:00,HF00000SSF
0.981,2015-05-28 00:00:00,HF00000SSF
0.98,2015-05-29 00:00:00,HF00000SSF
0.978,2015-06-01 00:00:00,HF00000SSF
0.978,2015-06-02 00:00:00,HF00000SSF
0.978,2015-06-03 00:00:00,HF00000SSF
0.978,2015-06-04 00:00:00,HF00000SSF
0.977,2015-06-05 00:00:00,HF00000SSF
0.973,2015-06-08 00:00:00,HF00000SSF
0.972,2015-06-09 00:00:00,HF00000SSF
0.971,2015-06-10 00:00:00,HF00000SSF
0.97,2015-06-11 00:00:00,HF00000SSF
0.968,2015-06-12 00:00:00,HF00000SSF
0.964,2015-06-15 00:00:00,HF00000SSF
0.963,2015-06-16 00:00:00,HF00000SSF
0.962,2015-06-17 00:00:00,HF00000SSF
0.946,2015-06-18 00:00:00,HF00000SSF
0.946,2015-06-19 00:00:00,HF00000SSF
0.952,2015-06-23 00:00:00,HF00000SSF
0.953,2015-06-24 00:00:00,HF00000SSF
0.952,2015-06-25 00:00:00,HF00000SSF
0.951,2015-06-26 00:00:00,HF00000SSF
0.95,2015-06-29 00:00:00,HF00000SSF
0.954,2015-06-30 00:00:00,HF00000SSF
0.947,2015-07-01 00:00:00,HF00000SSF
0.935,2015-07-02 00:00:00,HF00000SSF
0.94,2015-07-03 00:00:00,HF00000SSF
0.94,2015-07-06 00:00:00,HF00000SSF
0.913,2015-07-07 00:00:00,HF00000SSF
0.884,2015-07-08 00:00:00,HF00000SSF
0.889,2015-07-09 00:00:00,HF00000SSF
0.888,2015-07-10 00:00:00,HF00000SSF
0.887,2015-07-13 00:00:00,HF00000SSF
0.887,2015-07-14 00:00:00,HF00000SSF
0.885,2015-07-15 00:00:00,HF00000SSF
0.873,2015-07-16 00:00:00,HF00000SSF
0.876,2015-07-17 00:00:00,HF00000SSF
0.889,2015-07-20 00:00:00,HF00000SSF
0.891,2015-07-21 00:00:00,HF00000SSF
0.892,2015-07-22 00:00:00,HF00000SSF
0.899,2015-07-23 00:00:00,HF00000SSF
0.905,2015-07-24 00:00:00,HF00000SSF
0.901,2015-07-27 00:00:00,HF00000SSF
0.883,2015-07-28 00:00:00,HF00000SSF
0.881,2015-07-29 00:00:00,HF00000SSF
0.889,2015-07-30 00:00:00,HF00000SSF
0.884,2015-07-31 00:00:00,HF00000SSF
0.88,2015-08-03 00:00:00,HF00000SSF
