value,date,id
1.0,2015-06-11 00:00:00,HF00000VAB
1.0,2015-06-12 00:00:00,HF00000VAB
1.0,2015-06-15 00:00:00,HF00000VAB
1.0,2015-06-16 00:00:00,HF00000VAB
1.0,2015-06-17 00:00:00,HF00000VAB
1.0,2015-06-18 00:00:00,HF00000VAB
0.9997,2015-06-19 00:00:00,HF00000VAB
0.9995,2015-06-23 00:00:00,HF00000VAB
0.9994,2015-06-24 00:00:00,HF00000VAB
0.9994,2015-06-25 00:00:00,HF00000VAB
0.9994,2015-06-26 00:00:00,HF00000VAB
0.9992,2015-06-29 00:00:00,HF00000VAB
0.9992,2015-06-30 00:00:00,HF00000VAB
0.9991,2015-07-01 00:00:00,HF00000VAB
0.9991,2015-07-02 00:00:00,HF00000VAB
0.999,2015-07-03 00:00:00,HF00000VAB
0.9989,2015-07-06 00:00:00,HF00000VAB
0.9989,2015-07-07 00:00:00,HF00000VAB
0.9988,2015-07-08 00:00:00,HF00000VAB
0.9988,2015-07-09 00:00:00,HF00000VAB
0.9987,2015-07-10 00:00:00,HF00000VAB
0.9986,2015-07-13 00:00:00,HF00000VAB
0.9985,2015-07-14 00:00:00,HF00000VAB
0.9985,2015-07-15 00:00:00,HF00000VAB
0.9985,2015-07-16 00:00:00,HF00000VAB
0.9984,2015-07-17 00:00:00,HF00000VAB
0.9983,2015-07-20 00:00:00,HF00000VAB
0.9982,2015-07-21 00:00:00,HF00000VAB
0.9981,2015-07-22 00:00:00,HF00000VAB
0.9981,2015-07-23 00:00:00,HF00000VAB
0.9981,2015-07-24 00:00:00,HF00000VAB
0.998,2015-07-27 00:00:00,HF00000VAB
0.9979,2015-07-28 00:00:00,HF00000VAB
0.9978,2015-07-29 00:00:00,HF00000VAB
0.9978,2015-07-30 00:00:00,HF00000VAB
0.9977,2015-07-31 00:00:00,HF00000VAB
0.9976,2015-08-03 00:00:00,HF00000VAB
